antecedent,consequent,support,confidence,lift
{16 14},{11},0.38,0.289,1.025
{11 14},{16},0.199,0.551,1.074
{19},{18 11},0.54,0.229,1.12
{18},{11 19},0.705,0.176,1.089
{11},{18 19},0.282,0.439,1.098
{18 19},{11},0.4,0.31,1.098
{11 19},{18},0.161,0.768,1.089
{18 11},{19},0.205,0.604,1.12
{18},{11 30},0.705,0.18,1.047
{11},{18 30},0.282,0.45,1.134
{30},{18 11},0.563,0.225,1.099
{18 11},{30},0.205,0.619,1.099
{18 30},{11},0.397,0.32,1.134
{11 30},{18},0.172,0.738,1.047
{18},{34 11},0.705,0.201,1.059
{11},{18 34},0.282,0.502,1.076
{34},{18 11},0.641,0.221,1.078
{18 11},{34},0.205,0.691,1.078
{18 34},{11},0.466,0.303,1.076
{34 11},{18},0.19,0.746,1.059
{48},{18 11},0.479,0.217,1.058
{18},{48 11},0.705,0.147,1.063
{11},{48 18},0.282,0.368,1.059
{48 18},{11},0.348,0.298,1.059
{48 11},{18},0.138,0.749,1.063
{18 11},{48},0.205,0.507,1.058
{16},{18 11},0.513,0.223,1.089
{18},{16 11},0.705,0.162,1.055
{11},{16 18},0.282,0.406,1.101
{16 18},{11},0.369,0.31,1.101
{16 11},{18},0.154,0.744,1.055
{18 11},{16},0.205,0.559,1.089
{19},{11 30},0.54,0.19,1.108
{11},{19 30},0.282,0.364,1.152
{30},{11 19},0.563,0.182,1.132
{11 19},{30},0.161,0.638,1.132
{19 30},{11},0.316,0.325,1.152
{11 30},{19},0.172,0.598,1.108
{19},{34 11},0.54,0.21,1.109
{34},{11 19},0.641,0.177,1.099
{11},{34 19},0.282,0.402,1.119
{34 19},{11},0.36,0.315,1.119
{11 19},{34},0.161,0.704,1.099
{34 11},{19},0.19,0.599,1.109
{34},{11 30},0.641,0.188,1.091
{11},{34 30},0.282,0.426,1.158
{30},{34 11},0.563,0.213,1.125
{34 11},{30},0.19,0.634,1.125
{34 30},{11},0.368,0.326,1.158
{11 30},{34},0.172,0.699,1.091
{16},{34 11},0.513,0.2,1.053
{34},{16 11},0.641,0.16,1.039
{11},{16 34},0.282,0.363,1.093
{16 34},{11},0.332,0.308,1.093
{16 11},{34},0.154,0.666,1.039
{34 11},{16},0.19,0.54,1.053
{18},{19 14},0.705,0.434,1.085
{19},{18 14},0.54,0.566,1.075
{14},{18 19},0.717,0.426,1.067
{18 19},{14},0.4,0.765,1.067
{18 14},{19},0.527,0.58,1.075
{19 14},{18},0.399,0.765,1.085
{18},{20 14},0.705,0.226,1.102
{20},{18 14},0.271,0.589,1.118
{14},{18 20},0.717,0.223,1.104
{18 20},{14},0.202,0.791,1.104
{18 14},{20},0.527,0.303,1.118
{20 14},{18},0.205,0.777,1.102
{18},{21 14},0.705,0.248,1.066
{21},{18 14},0.307,0.57,1.082
{14},{18 21},0.717,0.244,1.096
{18 21},{14},0.223,0.786,1.096
{18 14},{21},0.527,0.332,1.082
{21 14},{18},0.233,0.752,1.066
{24},{18 14},0.213,0.576,1.093
{18},{24 14},0.705,0.174,1.103
{14},{24 18},0.717,0.171,1.094
{24 18},{14},0.156,0.784,1.094
{24 14},{18},0.157,0.778,1.103
{18 14},{24},0.527,0.232,1.093
{18},{28 14},0.705,0.273,1.062
{28},{18 14},0.342,0.561,1.065
{14},{18 28},0.717,0.268,1.098
{18 28},{14},0.244,0.787,1.098
{18 14},{28},0.527,0.365,1.065
{28 14},{18},0.257,0.749,1.062
{18},{14 30},0.705,0.439,1.043
{14},{18 30},0.717,0.432,1.089
{30},{18 14},0.563,0.55,1.043
{18 14},{30},0.527,0.587,1.043
{18 30},{14},0.397,0.78,1.089
{14 30},{18},0.421,0.735,1.043
{18},{34 14},0.705,0.511,1.076
{34},{18 14},0.641,0.562,1.067
{14},{18 34},0.717,0.503,1.078
{18 34},{14},0.466,0.773,1.078
{18 14},{34},0.527,0.684,1.067
{34 14},{18},0.475,0.759,1.076
{18},{44 14},0.705,0.301,1.064
{44},{18 14},0.373,0.569,1.079
{14},{18 44},0.717,0.296,1.093
{18 44},{14},0.271,0.783,1.093
{18 14},{44},0.527,0.403,1.079
{44 14},{18},0.283,0.75,1.064
{48},{18 14},0.479,0.564,1.071
{18},{48 14},0.705,0.383,1.077
{14},{48 18},0.717,0.377,1.085
{48 18},{14},0.348,0.777,1.085
{48 14},{18},0.356,0.759,1.077
{18 14},{48},0.527,0.513,1.071
{49},{18 14},0.389,0.564,1.07
{18},{49 14},0.705,0.311,1.076
{14},{49 18},0.717,0.306,1.081
{49 18},{14},0.283,0.775,1.081
{49 14},{18},0.289,0.759,1.076
{18 14},{49},0.527,0.416,1.07
{18},{3 14},0.705,0.189,1.083
{3},{18 14},0.238,0.56,1.063
{14},{18 3},0.717,0.186,1.065
{18 3},{14},0.175,0.763,1.065
{18 14},{3},0.527,0.253,1.063
{3 14},{18},0.175,0.763,1.083
{18},{14 15},0.705,0.233,1.056
{14},{18 15},0.717,0.23,1.031
{15},{18 14},0.305,0.539,1.022
{18 14},{15},0.527,0.312,1.022
{18 15},{14},0.223,0.739,1.031
{14 15},{18},0.221,0.745,1.056
{16},{18 14},0.513,0.546,1.036
{18},{16 14},0.705,0.398,1.047
{14},{16 18},0.717,0.391,1.061
{16 18},{14},0.369,0.76,1.061
{16 14},{18},0.38,0.738,1.047
{18 14},{16},0.527,0.532,1.036
{18},{26 14},0.705,0.329,1.079
{26},{18 14},0.412,0.563,1.068
{14},{18 26},0.717,0.324,1.083
{18 26},{14},0.299,0.776,1.083
{18 14},{26},0.527,0.441,1.068
{26 14},{18},0.305,0.761,1.079
{41},{18 14},0.207,0.535,1.016
{18},{41 14},0.705,0.157,1.028
{14},{41 18},0.717,0.155,1.058
{41 18},{14},0.146,0.758,1.058
{41 14},{18},0.153,0.725,1.028
{18 14},{41},0.527,0.21,1.016
{18},{2 14},0.705,0.221,1.092
{2},{18 14},0.273,0.57,1.082
{14},{18 2},0.717,0.217,1.071
{18 2},{14},0.203,0.768,1.071
{18 14},{2},0.527,0.295,1.082
{2 14},{18},0.202,0.77,1.092
{18},{12 14},0.705,0.306,1.096
{12},{18 14},0.365,0.59,1.119
{14},{18 12},0.717,0.301,1.103
{18 12},{14},0.273,0.791,1.103
{18 14},{12},0.527,0.409,1.119
{12 14},{18},0.279,0.773,1.096
{18},{35 14},0.705,0.173,1.028
{35},{18 14},0.222,0.551,1.046
{14},{18 35},0.717,0.17,1.108
{18 35},{14},0.154,0.794,1.108
{18 14},{35},0.527,0.232,1.046
{35 14},{18},0.169,0.725,1.028
{18},{42 14},0.705,0.245,1.048
{42},{18 14},0.317,0.545,1.033
{14},{18 42},0.717,0.241,1.076
{18 42},{14},0.224,0.771,1.076
{18 14},{42},0.527,0.328,1.033
{42 14},{18},0.234,0.739,1.048
{46},{18 14},0.372,0.578,1.096
{18},{46 14},0.705,0.305,1.094
{14},{18 46},0.717,0.3,1.071
{18 46},{14},0.28,0.768,1.071
{46 14},{18},0.279,0.772,1.094
{18 14},{46},0.527,0.408,1.096
{32},{18 14},0.413,0.559,1.06
{18},{32 14},0.705,0.327,1.093
{14},{32 18},0.717,0.322,1.059
{32 18},{14},0.304,0.759,1.059
{32 14},{18},0.299,0.77,1.093
{18 14},{32},0.527,0.437,1.06
{18},{37 14},0.705,0.184,1.053
{37},{18 14},0.233,0.557,1.057
{14},{18 37},0.717,0.181,1.083
{18 37},{14},0.167,0.776,1.083
{18 14},{37},0.527,0.246,1.057
{37 14},{18},0.175,0.742,1.053
{18},{14 39},0.705,0.248,1.061
{14},{18 39},0.717,0.244,1.069
{39},{18 14},0.316,0.554,1.052
{18 14},{39},0.527,0.332,1.052
{18 39},{14},0.229,0.766,1.069
{14 39},{18},0.234,0.748,1.061
{18},{43 14},0.705,0.173,1.113
{43},{18 14},0.208,0.586,1.111
{14},{18 43},0.717,0.17,1.077
{18 43},{14},0.158,0.772,1.077
{18 14},{43},0.527,0.231,1.111
{43 14},{18},0.155,0.785,1.113
{18},{14 47},0.705,0.157,1.021
{14},{18 47},0.717,0.154,1.072
{47},{18 14},0.206,0.536,1.016
{18 14},{47},0.527,0.209,1.016
{18 47},{14},0.144,0.768,1.072
{14 47},{18},0.153,0.72,1.021
{18},{5 14},0.705,0.184,1.071
{5},{18 14},0.227,0.571,1.082
{14},{18 5},0.717,0.181,1.085
{18 5},{14},0.166,0.778,1.085
{18 14},{5},0.527,0.246,1.082
{5 14},{18},0.172,0.755,1.071
{18},{29 14},0.705,0.223,1.108
{29},{18 14},0.28,0.561,1.064
{14},{18 29},0.717,0.219,1.037
{18 29},{14},0.212,0.743,1.037
{18 14},{29},0.527,0.298,1.064
{29 14},{18},0.201,0.781,1.108
{38},{18 14},0.269,0.569,1.08
{18},{38 14},0.705,0.217,1.064
{14},{18 38},0.717,0.214,1.085
{18 38},{14},0.197,0.778,1.085
{38 14},{18},0.204,0.75,1.064
{18 14},{38},0.527,0.291,1.08
{19},{20 14},0.54,0.231,1.124
{20},{19 14},0.271,0.46,1.152
{14},{19 20},0.717,0.174,1.11
{19 20},{14},0.156,0.795,1.11
{19 14},{20},0.399,0.312,1.152
{20 14},{19},0.205,0.607,1.124
{19},{21 14},0.54,0.253,1.088
{21},{19 14},0.307,0.445,1.114
{14},{19 21},0.717,0.19,1.091
{19 21},{14},0.175,0.782,1.091
{19 14},{21},0.399,0.342,1.114
{21 14},{19},0.233,0.587,1.088
{19},{28 14},0.54,0.272,1.06
{28},{19 14},0.342,0.429,1.074
{14},{19 28},0.717,0.205,1.079
{19 28},{14},0.19,0.773,1.079
{19 14},{28},0.399,0.368,1.074
{28 14},{19},0.257,0.572,1.06
{19},{14 30},0.54,0.446,1.059
{14},{19 30},0.717,0.336,1.061
{30},{19 14},0.563,0.427,1.069
{19 14},{30},0.399,0.602,1.069
{19 30},{14},0.316,0.761,1.061
{14 30},{19},0.421,0.571,1.059
{34},{19 14},0.641,0.429,1.075
{19},{34 14},0.54,0.51,1.073
{14},{34 19},0.717,0.384,1.067
{34 19},{14},0.36,0.764,1.067
{34 14},{19},0.475,0.579,1.073
{19 14},{34},0.399,0.688,1.075
{19},{44 14},0.54,0.307,1.084
{44},{19 14},0.373,0.444,1.111
{14},{19 44},0.717,0.231,1.086
{19 44},{14},0.213,0.779,1.086
{19 14},{44},0.399,0.414,1.111
{44 14},{19},0.283,0.585,1.084
{48},{19 14},0.479,0.438,1.096
{19},{48 14},0.54,0.388,1.091
{14},{48 19},0.717,0.292,1.093
{48 19},{14},0.268,0.783,1.093
{48 14},{19},0.356,0.589,1.091
{19 14},{48},0.399,0.525,1.096
{49},{19 14},0.389,0.439,1.1
{19},{49 14},0.54,0.317,1.096
{14},{49 19},0.717,0.238,1.087
{49 19},{14},0.219,0.779,1.087
{49 14},{19},0.289,0.591,1.096
{19 14},{49},0.399,0.428,1.1
{3},{19 14},0.238,0.436,1.091
{19},{3 14},0.54,0.192,1.1
{14},{19 3},0.717,0.145,1.058
{19 3},{14},0.137,0.759,1.058
{3 14},{19},0.175,0.594,1.1
{19 14},{3},0.399,0.26,1.091
{19},{14 15},0.54,0.241,1.089
{14},{19 15},0.717,0.181,1.038
{15},{19 14},0.305,0.425,1.064
{19 14},{15},0.399,0.325,1.064
{19 15},{14},0.175,0.744,1.038
{14 15},{19},0.221,0.588,1.089
{16},{19 14},0.513,0.417,1.045
{19},{16 14},0.54,0.397,1.046
{14},{16 19},0.717,0.299,1.044
{16 19},{14},0.286,0.748,1.044
{16 14},{19},0.38,0.564,1.046
{19 14},{16},0.399,0.536,1.045
{26},{19 14},0.412,0.426,1.068
{19},{26 14},0.54,0.326,1.067
{14},{26 19},0.717,0.245,1.055
{26 19},{14},0.233,0.756,1.055
{26 14},{19},0.305,0.576,1.067
{19 14},{26},0.399,0.44,1.068
{2},{19 14},0.273,0.437,1.094
{19},{2 14},0.54,0.221,1.094
{14},{2 19},0.717,0.166,1.06
{2 19},{14},0.157,0.76,1.06
{2 14},{19},0.202,0.59,1.094
{19 14},{2},0.399,0.298,1.094
{19},{12 14},0.54,0.301,1.08
{12},{19 14},0.365,0.445,1.114
{14},{19 12},0.717,0.227,1.112
{19 12},{14},0.204,0.797,1.112
{19 14},{12},0.399,0.407,1.114
{12 14},{19},0.279,0.583,1.08
{42},{19 14},0.317,0.421,1.053
{19},{42 14},0.54,0.247,1.058
{14},{42 19},0.717,0.186,1.065
{42 19},{14},0.175,0.763,1.065
{42 14},{19},0.234,0.571,1.058
{19 14},{42},0.399,0.334,1.053
{46},{19 14},0.372,0.433,1.084
{19},{46 14},0.54,0.299,1.071
{14},{19 46},0.717,0.225,1.092
{19 46},{14},0.206,0.783,1.092
{46 14},{19},0.279,0.578,1.071
{19 14},{46},0.399,0.404,1.084
{32},{19 14},0.413,0.409,1.024
{19},{32 14},0.54,0.313,1.046
{14},{32 19},0.717,0.236,1.043
{32 19},{14},0.226,0.747,1.043
{32 14},{19},0.299,0.564,1.046
{19 14},{32},0.399,0.423,1.024
{19},{37 14},0.54,0.19,1.086
{37},{19 14},0.233,0.44,1.101
{14},{19 37},0.717,0.143,1.082
{19 37},{14},0.132,0.775,1.082
{19 14},{37},0.399,0.256,1.101
{37 14},{19},0.175,0.586,1.086
{19},{14 39},0.54,0.248,1.059
{14},{19 39},0.717,0.187,1.05
{39},{19 14},0.316,0.423,1.06
{19 14},{39},0.399,0.335,1.06
{19 39},{14},0.178,0.752,1.05
{14 39},{19},0.234,0.571,1.059
{19},{29 14},0.54,0.216,1.076
{29},{19 14},0.28,0.417,1.043
{14},{19 29},0.717,0.163,1.024
{19 29},{14},0.159,0.734,1.024
{19 14},{29},0.399,0.292,1.043
{29 14},{19},0.201,0.58,1.076
{38},{19 14},0.269,0.433,1.084
{19},{38 14},0.54,0.216,1.057
{14},{19 38},0.717,0.162,1.102
{19 38},{14},0.147,0.79,1.102
{38 14},{19},0.204,0.57,1.057
{19 14},{38},0.399,0.292,1.084
{20},{14 30},0.271,0.451,1.072
{14},{20 30},0.717,0.17,1.105
{30},{20 14},0.563,0.217,1.057
{20 14},{30},0.205,0.595,1.057
{20 30},{14},0.154,0.792,1.105
{14 30},{20},0.421,0.29,1.072
{34},{20 14},0.641,0.212,1.036
{20},{34 14},0.271,0.503,1.06
{14},{34 20},0.717,0.19,1.074
{34 20},{14},0.177,0.77,1.074
{34 14},{20},0.475,0.287,1.06
{20 14},{34},0.205,0.663,1.036
{16},{20 14},0.513,0.218,1.061
{20},{16 14},0.271,0.413,1.088
{14},{16 20},0.717,0.156,1.077
{16 20},{14},0.145,0.772,1.077
{16 14},{20},0.38,0.294,1.088
{20 14},{16},0.205,0.545,1.061
{21},{14 30},0.307,0.467,1.109
{14},{21 30},0.717,0.2,1.096
{30},{21 14},0.563,0.254,1.093
{21 14},{30},0.233,0.615,1.093
{21 30},{14},0.182,0.786,1.096
{14 30},{21},0.421,0.34,1.109
{34},{21 14},0.641,0.237,1.019
{21},{34 14},0.307,0.495,1.043
{14},{34 21},0.717,0.212,1.08
{34 21},{14},0.196,0.774,1.08
{34 14},{21},0.475,0.32,1.043
{21 14},{34},0.233,0.653,1.019
{48},{21 14},0.479,0.243,1.046
{21},{48 14},0.307,0.38,1.067
{14},{48 21},0.717,0.162,1.112
{48 21},{14},0.146,0.797,1.112
{48 14},{21},0.356,0.327,1.067
{21 14},{48},0.233,0.501,1.046
{16},{21 14},0.513,0.254,1.09
{21},{16 14},0.307,0.424,1.118
{14},{16 21},0.717,0.182,1.09
{16 21},{14},0.166,0.782,1.09
{16 14},{21},0.38,0.343,1.118
{21 14},{16},0.233,0.56,1.09
{26},{21 14},0.412,0.251,1.078
{21},{26 14},0.307,0.337,1.105
{14},{26 21},0.717,0.144,1.084
{26 21},{14},0.133,0.777,1.084
{26 14},{21},0.305,0.339,1.105
{21 14},{26},0.233,0.445,1.078
{32},{21 14},0.413,0.245,1.053
{21},{32 14},0.307,0.33,1.102
{14},{32 21},0.717,0.141,1.081
{32 21},{14},0.13,0.775,1.081
{32 14},{21},0.299,0.338,1.102
{21 14},{32},0.233,0.435,1.053
{24},{34 14},0.213,0.51,1.075
{34},{24 14},0.641,0.169,1.075
{14},{24 34},0.717,0.151,1.069
{24 34},{14},0.141,0.767,1.069
{24 14},{34},0.157,0.689,1.075
{34 14},{24},0.475,0.228,1.075
{28},{14 30},0.342,0.45,1.069
{14},{28 30},0.717,0.215,1.096
{30},{28 14},0.563,0.274,1.067
{28 14},{30},0.257,0.601,1.067
{28 30},{14},0.196,0.786,1.096
{14 30},{28},0.421,0.366,1.069
{34},{28 14},0.641,0.279,1.086
{28},{34 14},0.342,0.521,1.098
{14},{34 28},0.717,0.249,1.083
{34 28},{14},0.23,0.776,1.083
{34 14},{28},0.475,0.376,1.098
{28 14},{34},0.257,0.696,1.086
{48},{28 14},0.479,0.273,1.065
{28},{48 14},0.342,0.382,1.073
{14},{48 28},0.717,0.182,1.068
{48 28},{14},0.171,0.766,1.068
{48 14},{28},0.356,0.367,1.073
{28 14},{48},0.257,0.51,1.065
{49},{28 14},0.389,0.263,1.024
{28},{49 14},0.342,0.298,1.032
{14},{49 28},0.717,0.142,1.034
{49 28},{14},0.138,0.741,1.034
{49 14},{28},0.289,0.353,1.032
{28 14},{49},0.257,0.398,1.024
{16},{28 14},0.513,0.282,1.1
{28},{16 14},0.342,0.423,1.114
{14},{16 28},0.717,0.202,1.077
{16 28},{14},0.188,0.772,1.077
{16 14},{28},0.38,0.381,1.114
{28 14},{16},0.257,0.564,1.1
{26},{28 14},0.412,0.276,1.075
{28},{26 14},0.342,0.332,1.089
{14},{26 28},0.717,0.159,1.081
{26 28},{14},0.147,0.775,1.081
{26 14},{28},0.305,0.373,1.089
{28 14},{26},0.257,0.443,1.075
{28},{12 14},0.342,0.329,1.181
{12},{28 14},0.365,0.309,1.203
{14},{28 12},0.717,0.157,1.134
{28 12},{14},0.139,0.812,1.134
{28 14},{12},0.257,0.44,1.203
{12 14},{28},0.279,0.404,1.181
{32},{28 14},0.413,0.268,1.046
{28},{32 14},0.342,0.324,1.081
{14},{32 28},0.717,0.155,1.043
{32 28},{14},0.148,0.748,1.043
{32 14},{28},0.299,0.37,1.081
{28 14},{32},0.257,0.432,1.046
{34},{14 30},0.641,0.441,1.046
{14},{34 30},0.717,0.394,1.07
{30},{34 14},0.563,0.501,1.056
{34 14},{30},0.475,0.595,1.056
{34 30},{14},0.368,0.767,1.07
{14 30},{34},0.421,0.67,1.046
{44},{14 30},0.373,0.454,1.079
{14},{44 30},0.717,0.236,1.092
{30},{44 14},0.563,0.301,1.064
{44 14},{30},0.283,0.599,1.064
{44 30},{14},0.217,0.783,1.092
{14 30},{44},0.421,0.403,1.079
{48},{14 30},0.479,0.454,1.079
{14},{48 30},0.717,0.304,1.075
{30},{48 14},0.563,0.386,1.085
{48 14},{30},0.356,0.611,1.085
{48 30},{14},0.282,0.771,1.075
{14 30},{48},0.421,0.517,1.079
{49},{14 30},0.389,0.457,1.084
{14},{49 30},0.717,0.248,1.08
{30},{49 14},0.563,0.315,1.091
{49 14},{30},0.289,0.614,1.091
{49 30},{14},0.229,0.774,1.08
{14 30},{49},0.421,0.422,1.084
{3},{14 30},0.238,0.451,1.071
{14},{3 30},0.717,0.15,1.052
{30},{3 14},0.563,0.191,1.091
{3 14},{30},0.175,0.615,1.091
{3 30},{14},0.142,0.754,1.052
{14 30},{3},0.421,0.255,1.071
{15},{14 30},0.305,0.459,1.09
{14},{30 15},0.717,0.196,1.06
{30},{14 15},0.563,0.249,1.126
{14 15},{30},0.221,0.634,1.126
{30 15},{14},0.185,0.759,1.06
{14 30},{15},0.421,0.333,1.09
{16},{14 30},0.513,0.429,1.019
{14},{16 30},0.717,0.307,1.06
{30},{16 14},0.563,0.391,1.03
{16 14},{30},0.38,0.58,1.03
{16 30},{14},0.29,0.759,1.06
{14 30},{16},0.421,0.523,1.019
{26},{14 30},0.412,0.455,1.08
{14},{26 30},0.717,0.262,1.07
{30},{26 14},0.563,0.333,1.091
{26 14},{30},0.305,0.614,1.091
{26 30},{14},0.245,0.767,1.07
{14 30},{26},0.421,0.445,1.08
{2},{14 30},0.273,0.442,1.049
{14},{2 30},0.717,0.168,1.074
{30},{2 14},0.563,0.214,1.059
{2 14},{30},0.202,0.597,1.059
{2 30},{14},0.156,0.77,1.074
{14 30},{2},0.421,0.286,1.049
{12},{14 30},0.365,0.465,1.104
{14},{12 30},0.717,0.237,1.103
{30},{12 14},0.563,0.302,1.081
{12 14},{30},0.279,0.609,1.081
{12 30},{14},0.215,0.79,1.103
{14 30},{12},0.421,0.403,1.104
{42},{14 30},0.317,0.449,1.066
{14},{42 30},0.717,0.199,1.06
{30},{42 14},0.563,0.253,1.081
{42 14},{30},0.234,0.609,1.081
{42 30},{14},0.188,0.76,1.06
{14 30},{42},0.421,0.338,1.066
{46},{14 30},0.372,0.47,1.115
{14},{46 30},0.717,0.244,1.08
{30},{46 14},0.563,0.31,1.113
{46 14},{30},0.279,0.627,1.113
{46 30},{14},0.226,0.774,1.08
{14 30},{46},0.421,0.415,1.115
{32},{14 30},0.413,0.454,1.077
{14},{32 30},0.717,0.261,1.068
{30},{32 14},0.563,0.332,1.11
{32 14},{30},0.299,0.625,1.11
{32 30},{14},0.245,0.765,1.068
{14 30},{32},0.421,0.445,1.077
{37},{14 30},0.233,0.451,1.072
{14},{37 30},0.717,0.147,1.08
{30},{37 14},0.563,0.187,1.067
{37 14},{30},0.175,0.601,1.067
{37 30},{14},0.136,0.774,1.08
{14 30},{37},0.421,0.25,1.072
{39},{14 30},0.316,0.464,1.101
{14},{30 39},0.717,0.204,1.06
{30},{14 39},0.563,0.26,1.11
{14 39},{30},0.234,0.625,1.11
{30 39},{14},0.193,0.76,1.06
{14 30},{39},0.421,0.348,1.101
{29},{14 30},0.28,0.444,1.055
{14},{29 30},0.717,0.174,1.062
{30},{29 14},0.563,0.221,1.098
{29 14},{30},0.201,0.619,1.098
{29 30},{14},0.163,0.761,1.062
{14 30},{29},0.421,0.296,1.055
{38},{14 30},0.269,0.462,1.096
{14},{38 30},0.717,0.173,1.102
{30},{38 14},0.563,0.22,1.079
{38 14},{30},0.204,0.608,1.079
{38 30},{14},0.157,0.79,1.102
{14 30},{38},0.421,0.295,1.096
{34},{44 14},0.641,0.305,1.077
{44},{34 14},0.373,0.523,1.102
{14},{34 44},0.717,0.272,1.091
{34 44},{14},0.25,0.782,1.091
{34 14},{44},0.475,0.411,1.102
{44 14},{34},0.283,0.69,1.077
{48},{34 14},0.479,0.506,1.066
{34},{48 14},0.641,0.378,1.062
{14},{48 34},0.717,0.338,1.069
{48 34},{14},0.316,0.766,1.069
{48 14},{34},0.356,0.68,1.062
{34 14},{48},0.475,0.51,1.066
{49},{34 14},0.389,0.494,1.041
{34},{49 14},0.641,0.3,1.038
{14},{49 34},0.717,0.268,1.057
{49 34},{14},0.254,0.758,1.057
{49 14},{34},0.289,0.665,1.038
{34 14},{49},0.475,0.405,1.041
{34},{3 14},0.641,0.192,1.096
{3},{34 14},0.238,0.515,1.086
{14},{34 3},0.717,0.171,1.059
{34 3},{14},0.162,0.759,1.059
{34 14},{3},0.475,0.259,1.086
{3 14},{34},0.175,0.702,1.096
{34},{14 15},0.641,0.236,1.068
{14},{34 15},0.717,0.211,1.046
{15},{34 14},0.305,0.495,1.043
{34 14},{15},0.475,0.318,1.043
{34 15},{14},0.202,0.75,1.046
{14 15},{34},0.221,0.684,1.068
{16},{34 14},0.513,0.5,1.053
{34},{16 14},0.641,0.401,1.055
{14},{16 34},0.717,0.358,1.077
{16 34},{14},0.332,0.772,1.077
{16 14},{34},0.38,0.676,1.055
{34 14},{16},0.475,0.54,1.053
{34},{26 14},0.641,0.322,1.056
{26},{34 14},0.412,0.501,1.055
{14},{34 26},0.717,0.288,1.069
{34 26},{14},0.27,0.766,1.069
{34 14},{26},0.475,0.435,1.055
{26 14},{34},0.305,0.677,1.056
{41},{34 14},0.207,0.51,1.073
{34},{41 14},0.641,0.165,1.077
{14},{41 34},0.717,0.147,1.037
{41 34},{14},0.142,0.744,1.037
{41 14},{34},0.153,0.69,1.077
{34 14},{41},0.475,0.222,1.073
{34},{2 14},0.641,0.223,1.104
{2},{34 14},0.273,0.524,1.103
{14},{34 2},0.717,0.199,1.066
{34 2},{14},0.187,0.764,1.066
{34 14},{2},0.475,0.301,1.103
{2 14},{34},0.202,0.707,1.104
{34},{12 14},0.641,0.294,1.053
{12},{34 14},0.365,0.515,1.085
{14},{34 12},0.717,0.263,1.105
{34 12},{14},0.238,0.792,1.105
{34 14},{12},0.475,0.396,1.085
{12 14},{34},0.279,0.675,1.053
{34},{35 14},0.641,0.182,1.079
{35},{34 14},0.222,0.526,1.107
{14},{34 35},0.717,0.162,1.097
{34 35},{14},0.148,0.786,1.097
{34 14},{35},0.475,0.245,1.107
{35 14},{34},0.169,0.691,1.079
{34},{42 14},0.641,0.25,1.069
{42},{34 14},0.317,0.505,1.063
{14},{34 42},0.717,0.223,1.07
{34 42},{14},0.209,0.767,1.07
{34 14},{42},0.475,0.337,1.063
{42 14},{34},0.234,0.685,1.069
{46},{34 14},0.372,0.516,1.087
{34},{46 14},0.641,0.3,1.075
{14},{34 46},0.717,0.268,1.06
{34 46},{14},0.253,0.76,1.06
{46 14},{34},0.279,0.689,1.075
{34 14},{46},0.475,0.405,1.087
{32},{34 14},0.413,0.507,1.068
{34},{32 14},0.641,0.327,1.091
{14},{32 34},0.717,0.292,1.053
{32 34},{14},0.277,0.755,1.053
{32 14},{34},0.299,0.699,1.091
{34 14},{32},0.475,0.441,1.068
{34},{37 14},0.641,0.193,1.102
{37},{34 14},0.233,0.53,1.116
{14},{34 37},0.717,0.172,1.085
{34 37},{14},0.159,0.777,1.085
{34 14},{37},0.475,0.26,1.116
{37 14},{34},0.175,0.706,1.102
{34},{14 39},0.641,0.255,1.087
{14},{34 39},0.717,0.228,1.086
{39},{34 14},0.316,0.516,1.088
{34 14},{39},0.475,0.344,1.088
{34 39},{14},0.21,0.779,1.086
{14 39},{34},0.234,0.697,1.087
{34},{43 14},0.641,0.171,1.104
{43},{34 14},0.208,0.528,1.112
{14},{34 43},0.717,0.153,1.096
{34 43},{14},0.14,0.785,1.096
{34 14},{43},0.475,0.231,1.112
{43 14},{34},0.155,0.708,1.104
{34},{14 47},0.641,0.158,1.028
{14},{34 47},0.717,0.141,1.044
{47},{34 14},0.206,0.49,1.033
{34 14},{47},0.475,0.213,1.033
{34 47},{14},0.135,0.748,1.044
{14 47},{34},0.153,0.659,1.028
{34},{5 14},0.641,0.182,1.063
{5},{34 14},0.227,0.515,1.084
{14},{34 5},0.717,0.163,1.069
{34 5},{14},0.152,0.766,1.069
{34 14},{5},0.475,0.246,1.084
{5 14},{34},0.172,0.681,1.063
{34},{29 14},0.641,0.209,1.041
{29},{34 14},0.28,0.479,1.008
{14},{34 29},0.717,0.187,1.043
{34 29},{14},0.18,0.747,1.043
{34 14},{29},0.475,0.283,1.008
{29 14},{34},0.201,0.667,1.041
{38},{34 14},0.269,0.524,1.103
{34},{38 14},0.641,0.22,1.076
{14},{34 38},0.717,0.196,1.096
{34 38},{14},0.179,0.786,1.096
{38 14},{34},0.204,0.69,1.076
{34 14},{38},0.475,0.297,1.103
{48},{44 14},0.479,0.302,1.069
{44},{48 14},0.373,0.388,1.09
{14},{48 44},0.717,0.202,1.087
{48 44},{14},0.186,0.779,1.087
{48 14},{44},0.356,0.407,1.09
{44 14},{48},0.283,0.512,1.069
{49},{44 14},0.389,0.282,0.998
{44},{49 14},0.373,0.294,1.018
{14},{49 44},0.717,0.153,1.07
{49 44},{14},0.143,0.767,1.07
{49 14},{44},0.289,0.38,1.018
{44 14},{49},0.283,0.388,0.998
{16},{44 14},0.513,0.297,1.05
