antecedent,consequent,support,confidence,lift
{6},{15},0.528,0.311,1.017
{15},{6},0.305,0.537,1.017
{16},{6},0.513,0.542,1.028
{6},{16},0.528,0.528,1.028
{26},{6},0.412,0.537,1.018
{6},{26},0.528,0.42,1.018
{41},{6},0.207,0.581,1.101
{6},{41},0.528,0.228,1.101
{2},{6},0.273,0.567,1.074
{6},{2},0.528,0.293,1.074
{12},{6},0.365,0.553,1.049
{6},{12},0.528,0.383,1.049
{35},{6},0.222,0.547,1.036
{6},{35},0.528,0.23,1.036
{42},{6},0.317,0.528,1.001
{6},{42},0.528,0.318,1.001
{46},{6},0.372,0.566,1.074
{6},{46},0.528,0.4,1.074
{32},{6},0.413,0.568,1.076
{6},{32},0.528,0.444,1.076
{37},{6},0.233,0.534,1.013
{6},{37},0.528,0.236,1.013
{6},{39},0.528,0.323,1.021
{39},{6},0.316,0.539,1.021
{43},{6},0.208,0.525,0.995
{6},{43},0.528,0.207,0.995
{6},{47},0.528,0.214,1.04
{47},{6},0.206,0.549,1.04
{5},{6},0.227,0.54,1.023
{6},{5},0.528,0.232,1.023
{29},{6},0.28,0.569,1.079
{6},{29},0.528,0.302,1.079
{38},{6},0.269,0.547,1.037
{6},{38},0.528,0.279,1.037
{11},{14},0.282,0.707,0.986
{14},{11},0.717,0.278,0.986
{18},{11},0.705,0.291,1.031
{11},{18},0.282,0.727,1.031
{19},{11},0.54,0.299,1.059
{11},{19},0.282,0.572,1.059
{11},{28},0.282,0.366,1.068
{28},{11},0.342,0.301,1.068
{11},{30},0.282,0.609,1.082
{30},{11},0.563,0.305,1.082
{34},{11},0.641,0.296,1.049
{11},{34},0.282,0.672,1.049
{11},{44},0.282,0.382,1.025
{44},{11},0.373,0.289,1.025
{48},{11},0.479,0.289,1.026
{11},{48},0.282,0.491,1.026
{49},{11},0.389,0.294,1.044
{11},{49},0.282,0.406,1.044
{16},{11},0.513,0.3,1.063
{11},{16},0.282,0.546,1.063
{26},{11},0.412,0.285,1.01
{11},{26},0.282,0.417,1.01
{11},{12},0.282,0.392,1.072
{12},{11},0.365,0.302,1.072
{11},{46},0.282,0.401,1.077
{46},{11},0.372,0.304,1.077
{32},{11},0.413,0.304,1.078
{11},{32},0.282,0.445,1.078
{18},{14},0.705,0.748,1.043
{14},{18},0.717,0.736,1.043
{19},{14},0.54,0.74,1.033
{14},{19},0.717,0.557,1.033
{20},{14},0.271,0.758,1.058
{14},{20},0.717,0.286,1.058
{21},{14},0.307,0.758,1.058
{14},{21},0.717,0.324,1.058
{24},{14},0.213,0.741,1.034
{14},{24},0.717,0.22,1.034
{28},{14},0.342,0.75,1.046
{14},{28},0.717,0.358,1.046
{14},{30},0.717,0.588,1.043
{30},{14},0.563,0.748,1.043
{14},{31},0.717,0.173,1.044
{31},{14},0.165,0.748,1.044
{34},{14},0.641,0.741,1.034
{14},{34},0.717,0.662,1.034
{44},{14},0.373,0.758,1.058
{14},{44},0.717,0.395,1.058
{48},{14},0.479,0.744,1.037
{14},{48},0.717,0.497,1.037
{49},{14},0.389,0.743,1.037
{14},{49},0.717,0.403,1.037
{3},{14},0.238,0.734,1.024
{14},{3},0.717,0.244,1.024
{13},{14},0.148,0.739,1.032
{14},{13},0.717,0.153,1.032
{14},{15},0.717,0.308,1.009
{15},{14},0.305,0.723,1.009
{16},{14},0.513,0.74,1.032
{14},{16},0.717,0.53,1.032
{26},{14},0.412,0.74,1.033
{14},{26},0.717,0.426,1.033
{41},{14},0.207,0.739,1.031
{14},{41},0.717,0.213,1.031
{2},{14},0.273,0.741,1.033
{14},{2},0.717,0.282,1.033
{12},{14},0.365,0.763,1.065
{14},{12},0.717,0.389,1.065
{35},{14},0.222,0.761,1.061
{14},{35},0.717,0.235,1.061
{42},{14},0.317,0.737,1.028
{14},{42},0.717,0.326,1.028
{46},{14},0.372,0.749,1.045
{14},{46},0.717,0.389,1.045
{32},{14},0.413,0.725,1.012
{14},{32},0.717,0.418,1.012
{37},{14},0.233,0.751,1.047
{14},{37},0.717,0.244,1.047
